all_primary_preds,all_secondary_preds,useful_secondary_preds,normalized_useful_secondary_preds,nooverlap_primary_preds,nooverlap_normalized_useful_secondary_preds,overlapping_preds
0.8246703147888184,0.9940166473388672,0.9940166473388672,0.8246703147888184,0.6881102323532104,0.6715501546859741,0.8246703147888184
0.8060083985328674,0.9938644766807556,0.9938644766807556,0.8246268033981323,0.6749930381774902,0.6253066658973694,0.8246703147888184
0.790246307849884,0.99309241771698,0.99309241771698,0.82440584897995,0.6594042181968689,0.6226876378059387,0.8246268033981323
0.789355993270874,0.9899970293045044,0.9899970293045044,0.8235200643539429,0.657863974571228,0.6161692142486572,0.8235200643539429
0.7567396759986877,0.9013187885284424,0.9013187885284424,0.7981442213058472,0.6552214622497559,0.6125170588493347,0.7981442213058472
0.7340139150619507,0.8310844898223877,0.8310844898223877,0.7780463099479675,0.6514904499053955,0.612179160118103,0.790246307849884
0.6993285417556763,0.8048571348190308,0.8048571348190308,0.7705411911010742,0.6447053551673889,0.6079241633415222,0.7780463099479675
0.6881102323532104,0.7956130504608154,0.7956130504608154,0.7678959369659424,0.6430012583732605,0.6016643047332764,0.7705411911010742
0.6749930381774902,0.7338243126869202,0.7338243126869202,0.750214695930481,0.6425233483314514,0.6007013916969299,0.7678959369659424
0.6734572052955627,0.6677832007408142,0.6677832007408142,0.7313166856765747,0.6395607590675354,0.5995362997055054,0.750214695930481
0.6627592444419861,0.5784927010536194,0.5784927010536194,0.7057656645774841,0.6364741325378418,0.5968828797340393,0.7340139150619507
0.6601854562759399,0.5584379434585571,0.5584379434585571,0.7000268697738647,0.6356788873672485,0.5879392027854919,0.7313166856765747
0.6594042181968689,0.5535039305686951,0.5535039305686951,0.6986149549484253,0.6327790021896362,0.587319552898407,0.7057656645774841
0.6583166718482971,0.5366718173027039,0.5366718173027039,0.6937983632087708,0.6299371719360352,0.585191011428833,0.6986149549484253
0.657863974571228,0.4589233100414276,0.4589233100414276,0.6715501546859741,0.6280020475387573,0.5850827693939209,0.6937983632087708
0.6552214622497559,0.39565977454185486,0.39565977454185486,0.6534469127655029,0.6260578632354736,0.5794593095779419,0.6583166718482971
0.6514904499053955,0.34930503368377686,0.34930503368377686,0.6401822566986084,0.6249571442604065,0.5771778225898743,0.6534469127655029
0.6447053551673889,0.34021738171577454,0.34021738171577454,0.6375817656517029,0.6231231689453125,0.5764811635017395,0.6401822566986084
0.6430012583732605,0.318755179643631,0.318755179643631,0.6314402222633362,0.620719850063324,0.5707707405090332,0.6375817656517029
0.6425233483314514,0.2973209023475647,0.2973209023475647,0.6253066658973694,0.6206476092338562,0.5695825219154358,0.6341212391853333
0.6410210132598877,0.28816840052604675,0.28816840052604675,0.6226876378059387,0.619660496711731,0.5647500157356262,0.6314402222633362
0.6395607590675354,0.2697947323322296,0.2697947323322296,0.6174299120903015,0.6195607781410217,0.5638341307640076,0.6309508085250854
0.6364741325378418,0.2672482132911682,0.2672482132911682,0.6167011857032776,0.6165929436683655,0.5637055039405823,0.6174299120903015
0.6356788873672485,0.2653891146183014,0.2653891146183014,0.6161692142486572,0.6144382953643799,0.5630218982696533,0.6167011857032776
